CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -27.117539          ---           -386.230092       -0.004148        ---         -386.234240          1.68                0.46         
CONF2        -27.117534          ---           -386.230227       -0.004228        ---         -386.234455          1.54                0.57         
CONF3        -27.117526          ---           -386.230304       -0.004350        ---         -386.234654          1.42                0.71         
CONF4        -27.117489          ---           -386.231537       -0.004859        ---         -386.236396          0.33                4.47         
CONF5        -27.117500          ---           -386.231741       -0.004943        ---         -386.236683          0.15                6.06         
CONF6        -27.117500          ---           -386.231250       -0.004880        ---         -386.236130          0.49                3.37         
CONF7        -27.117489          ---           -386.231898       -0.004909        ---         -386.236806          0.07                6.91         
CONF8        -27.117459          ---           -386.231694       -0.004689        ---         -386.236383          0.33                4.41         
CONF9        -27.117421          ---           -386.231047       -0.005278        ---         -386.236325          0.37                4.15         
CONF10       -27.117402          ---           -386.229613       -0.005403        ---         -386.235016          1.19                1.04         
CONF11       -27.117398          ---           -386.229316       -0.004384        ---         -386.233700          2.02                0.26         
CONF12       -27.117405          ---           -386.229558       -0.005365        ---         -386.234923          1.25                0.94         
CONF13       -27.117405          ---           -386.229537       -0.005351        ---         -386.234888          1.27                0.91         
CONF14       -27.117257          ---           -386.231028       -0.005021        ---         -386.236049          0.54                3.10         
CONF15       -27.117222          ---           -386.227855       -0.004543        ---         -386.232398          2.83                0.06         
CONF16       -27.117234          ---           -386.228324       -0.004819        ---         -386.233144          2.37                0.14         
CONF17       -27.117141          ---           -386.230801       -0.005102        ---         -386.235903          0.64                2.65         
CONF18       -27.117130          ---           -386.229215       -0.004280        ---         -386.233495          2.15                0.21         
CONF19       -27.117114          ---           -386.232009       -0.004906        ---         -386.236915          0.00                7.75         
CONF20       -27.117110          ---           -386.231184       -0.005047        ---         -386.236231          0.43                3.76         
CONF21       -27.117110          ---           -386.231167       -0.005075        ---         -386.236242          0.42                3.80         
CONF22       -27.117101          ---           -386.231134       -0.005048        ---         -386.236181          0.46                3.56         
CONF23       -27.117112          ---           -386.231137       -0.005056        ---         -386.236193          0.45                3.61         
CONF24       -27.117073          ---           -386.230476       -0.004155        ---         -386.234631          1.43                0.69         
CONF25       -27.117108          ---           -386.230810       -0.004930        ---         -386.235740          0.74                2.23         
CONF26       -27.117103          ---           -386.230824       -0.004898        ---         -386.235722          0.75                2.19         
CONF27       -27.117065          ---           -386.230127       -0.004036        ---         -386.234163          1.73                0.42         
CONF28       -27.117031          ---           -386.230199       -0.004727        ---         -386.234925          1.25                0.94         
CONF29       -27.117051          ---           -386.231487       -0.004811        ---         -386.236298          0.39                4.03         
CONF30       -27.117027          ---           -386.229645       -0.003974        ---         -386.233619          2.07                0.24         
CONF31       -27.117010          ---           -386.230921       -0.004976        ---         -386.235897          0.64                2.64         
CONF32       -27.116986          ---           -386.230212       -0.004604        ---         -386.234816          1.32                0.84         
