CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -27.121982          ---           -386.236132       -0.005134        ---         -386.241266          0.41                3.12         
CONF2        -27.121817          ---           -386.236317       -0.005113        ---         -386.241430          0.31                3.71         
CONF3        -27.121770          ---           -386.235556       -0.005372        ---         -386.240928          0.63                2.18         
CONF4        -27.121675          ---           -386.236158       -0.005146        ---         -386.241303          0.39                3.24         
CONF5        -27.121620          ---           -386.235957       -0.005377        ---         -386.241334          0.37                3.35         
CONF6        -27.121615          ---           -386.235657       -0.004570        ---         -386.240227          1.07                1.04         
CONF7        -27.121583          ---           -386.236424       -0.005108        ---         -386.241533          0.25                4.14         
CONF8        -27.121453          ---           -386.236058       -0.004566        ---         -386.240624          0.82                1.58         
CONF9        -27.121424          ---           -386.235526       -0.005384        ---         -386.240910          0.64                2.14         
CONF10       -27.121419          ---           -386.235903       -0.005529        ---         -386.241432          0.31                3.72         
CONF11       -27.121418          ---           -386.236059       -0.005590        ---         -386.241649          0.17                4.68         
CONF12       -27.121402          ---           -386.236237       -0.005689        ---         -386.241927          0.00                6.28         
CONF13       -27.121399          ---           -386.236222       -0.005695        ---         -386.241917          0.01                6.21         
CONF14       -27.121422          ---           -386.235800       -0.005497        ---         -386.241298          0.39                3.23         
CONF15       -27.121418          ---           -386.236024       -0.005592        ---         -386.241617          0.19                4.52         
CONF16       -27.121314          ---           -386.234886       -0.005066        ---         -386.239952          1.24                0.78         
CONF17       -27.121273          ---           -386.236043       -0.005458        ---         -386.241502          0.27                4.00         
CONF18       -27.121269          ---           -386.235132       -0.005056        ---         -386.240188          1.09                1.00         
CONF19       -27.121304          ---           -386.235071       -0.005259        ---         -386.240330          1.00                1.16         
CONF20       -27.121244          ---           -386.235167       -0.005134        ---         -386.240300          1.02                1.12         
CONF21       -27.121244          ---           -386.235180       -0.005134        ---         -386.240314          1.01                1.14         
CONF22       -27.121203          ---           -386.234259       -0.005030        ---         -386.239289          1.66                0.38         
CONF23       -27.121168          ---           -386.234020       -0.005072        ---         -386.239092          1.78                0.31         
CONF24       -27.121161          ---           -386.235091       -0.005308        ---         -386.240399          0.96                1.24         
CONF25       -27.121112          ---           -386.235010       -0.005335        ---         -386.240345          0.99                1.18         
CONF26       -27.121085          ---           -386.234394       -0.005037        ---         -386.239431          1.57                0.45         
CONF27       -27.121069          ---           -386.235390       -0.005116        ---         -386.240506          0.89                1.39         
CONF28       -27.121057          ---           -386.235352       -0.005271        ---         -386.240623          0.82                1.58         
CONF29       -27.121060          ---           -386.235330       -0.005279        ---         -386.240610          0.83                1.56         
CONF30       -27.121024          ---           -386.235210       -0.005276        ---         -386.240486          0.90                1.37         
CONF31       -27.121010          ---           -386.234978       -0.005457        ---         -386.240434          0.94                1.29         
CONF32       -27.120983          ---           -386.235510       -0.005722        ---         -386.241232          0.44                3.01         
CONF33       -27.120610          ---           -386.235271       -0.005685        ---         -386.240956          0.61                2.25         
CONF34       -27.120596          ---           -386.235248       -0.005658        ---         -386.240906          0.64                2.13         
CONF35       -27.120508          ---           -386.234201       -0.005573        ---         -386.239774          1.35                0.64         
CONF36       -27.120501          ---           -386.233177       -0.005386        ---         -386.238563          2.11                0.18         
CONF37       -27.120475          ---           -386.235486       -0.005613        ---         -386.241098          0.52                2.61         
CONF38       -27.120465          ---           -386.234997       -0.005968        ---         -386.240965          0.60                2.27         
CONF39       -27.120458          ---           -386.234225       -0.005461        ---         -386.239687          1.41                0.59         
CONF40       -27.120462          ---           -386.234967       -0.005993        ---         -386.240960          0.61                2.26         
CONF41       -27.120461          ---           -386.235037       -0.005953        ---         -386.240991          0.59                2.33         
CONF42       -27.120436          ---           -386.234954       -0.005971        ---         -386.240925          0.63                2.17         
CONF43       -27.120389          ---           -386.234673       -0.005844        ---         -386.240517          0.88                1.41         
CONF44       -27.120443          ---           -386.233863       -0.005621        ---         -386.239484          1.53                0.47         
CONF45       -27.120401          ---           -386.235002       -0.005466        ---         -386.240468          0.92                1.34         
CONF46       -27.120381          ---           -386.232589       -0.005050        ---         -386.237639          2.69                0.07         
CONF47       -27.120318          ---           -386.233370       -0.005573        ---         -386.238942          1.87                0.27         
CONF48       -27.120318          ---           -386.233372       -0.005571        ---         -386.238943          1.87                0.27         
CONF49       -27.120336          ---           -386.233127       -0.005430        ---         -386.238557          2.11                0.18         
CONF50       -27.120244          ---           -386.233786       -0.005881        ---         -386.239667          1.42                0.57         
CONF51       -27.120219          ---           -386.233784       -0.005927        ---         -386.239711          1.39                0.60         
CONF52       -27.120201          ---           -386.233534       -0.005958        ---         -386.239492          1.53                0.48         
CONF53       -27.120185          ---           -386.233727       -0.005939        ---         -386.239666          1.42                0.57         
CONF54       -27.119726          ---           -386.232444       -0.005334        ---         -386.237778          2.60                0.08         
CONF55       -27.119720          ---           -386.232481       -0.005328        ---         -386.237809          2.58                0.08         
CONF56       -27.119723          ---           -386.232441       -0.005322        ---         -386.237763          2.61                0.08         
CONF57       -27.118393          ---           -386.230712       -0.005009        ---         -386.235721          3.89                0.01         
CONF58       -27.118180          ---           -386.230747       -0.005599        ---         -386.236345          3.50                0.02         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -386.2355932    -386.2410669     <<==part1==
----------------------------------------------------------------------------------------------------

