CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -27.116574          0.00          -385.457634          0.15           -3.393243         -385.463041          0.19                3.81         
CONF2        -27.116506          0.04          -385.457746          0.08           -3.332754         -385.463057          0.18                3.88         
CONF3        -27.116337          0.15          -385.456799          0.67           -3.409449         -385.462233          0.70                1.62         
CONF4        -27.116442          0.08          -385.457672          0.12           -3.283633         -385.462904          0.28                3.30         
CONF5        -27.116278          0.19          -385.457034          0.52           -3.351843         -385.462376          0.61                1.88         
CONF6        -27.116252          0.20          -385.456979          0.56           -3.365351         -385.462342          0.63                1.82         
CONF7        -27.116410          0.10          -385.457866          0.00           -3.246267         -385.463039          0.19                3.80         
CONF8        -27.116186          0.24          -385.457232          0.40           -3.305018         -385.462499          0.53                2.15         
CONF9        -27.115713          0.54          -385.457222          0.40           -3.583832         -385.462933          0.26                3.40         
CONF10       -27.115664          0.57          -385.457463          0.25           -3.611703         -385.463219          0.08                4.60         
CONF11       -27.115646          0.58          -385.457522          0.22           -3.621535         -385.463293          0.03                4.98         
CONF12       -27.115607          0.61          -385.457548          0.20           -3.636745         -385.463343          0.00                5.25         
CONF13       -27.115604          0.61          -385.457539          0.21           -3.636352         -385.463334          0.01                5.20         
CONF14       -27.115674          0.56          -385.457386          0.30           -3.606634         -385.463133          0.13                4.20         
CONF15       -27.115644          0.58          -385.457487          0.24           -3.623363         -385.463261          0.05                4.81         
CONF16       -27.115582          0.62          -385.456677          0.75           -3.596980         -385.462409          0.59                1.95         
CONF17       -27.115623          0.60          -385.457603          0.16           -3.545599         -385.463254          0.06                4.78         
CONF18       -27.115514          0.67          -385.457082          0.49           -3.611412         -385.462837          0.32                3.07         
CONF19       -27.115527          0.66          -385.456830          0.65           -3.624680         -385.462607          0.46                2.41         
CONF20       -27.115800          0.49          -385.456619          0.78           -3.416356         -385.462063          0.80                1.35         
CONF21       -27.115805          0.48          -385.456616          0.78           -3.413116         -385.462055          0.81                1.34         
CONF22       -27.115826          0.47          -385.455984          1.18           -3.374518         -385.461362          1.24                0.64         
CONF23       -27.115756          0.51          -385.455690          1.37           -3.396023         -385.461102          1.41                0.49         
CONF24       -27.115974          0.38          -385.456482          0.87           -3.254941         -385.461669          1.05                0.89         
CONF25       -27.115857          0.45          -385.456423          0.91           -3.297960         -385.461679          1.04                0.90         
CONF26       -27.115769          0.51          -385.455952          1.20           -3.335932         -385.461268          1.30                0.58         
CONF27       -27.115735          0.53          -385.456783          0.68           -3.347004         -385.462117          0.77                1.43         
CONF28       -27.115931          0.40          -385.456696          0.73           -3.216340         -385.461822          0.95                1.05         
CONF29       -27.115926          0.41          -385.456694          0.74           -3.221480         -385.461828          0.95                1.05         
CONF30       -27.115815          0.48          -385.456611          0.79           -3.268647         -385.461820          0.96                1.05         
CONF31       -27.115447          0.71          -385.456618          0.78           -3.490835         -385.462181          0.73                1.53         
CONF32       -27.115415          0.73          -385.457118          0.47           -3.494192         -385.462687          0.41                2.62         
CONF33       -27.114837          1.09          -385.456713          0.72           -3.623076         -385.462487          0.54                2.12         
CONF34       -27.114868          1.07          -385.456734          0.71           -3.594587         -385.462462          0.55                2.07         
CONF35       -27.114973          1.01          -385.455944          1.21           -3.473386         -385.461479          1.17                0.73         
CONF36       -27.114849          1.08          -385.454454          2.14           -3.546847         -385.460106          2.03                0.17         
CONF37       -27.114824          1.10          -385.456978          0.56           -3.546075         -385.462629          0.45                2.47         
CONF38       -27.114925          1.04          -385.456205          1.04           -3.476257         -385.461745          1.00                0.97         
CONF39       -27.114641          1.21          -385.455780          1.31           -3.650129         -385.461597          1.10                0.83         
CONF40       -27.114908          1.05          -385.456170          1.06           -3.484908         -385.461723          1.02                0.94         
CONF41       -27.114925          1.04          -385.456249          1.01           -3.474356         -385.461785          0.98                1.01         
CONF42       -27.114883          1.06          -385.456174          1.06           -3.484328         -385.461727          1.01                0.95         
CONF43       -27.114830          1.09          -385.455999          1.17           -3.488219         -385.461558          1.12                0.79         
CONF44       -27.114846          1.08          -385.455491          1.49           -3.512271         -385.461088          1.42                0.48         
CONF45       -27.114600          1.24          -385.456410          0.91           -3.640134         -385.462211          0.71                1.58         
CONF46       -27.114534          1.28          -385.454594          2.05           -3.669043         -385.460441          1.82                0.24         
CONF47       -27.114431          1.34          -385.454943          1.83           -3.694422         -385.460830          1.58                0.37         
CONF48       -27.114425          1.35          -385.454929          1.84           -3.698215         -385.460822          1.58                0.36         
CONF49       -27.114443          1.34          -385.454760          1.95           -3.697538         -385.460652          1.69                0.30         
CONF50       -27.114438          1.34          -385.455141          1.71           -3.642839         -385.460947          1.50                0.41         
CONF51       -27.114439          1.34          -385.455125          1.72           -3.627353         -385.460905          1.53                0.40         
CONF52       -27.114478          1.32          -385.454969          1.82           -3.590803         -385.460692          1.66                0.32         
CONF53       -27.114470          1.32          -385.455009          1.79           -3.586363         -385.460725          1.64                0.33         
CONF54       -27.114296          1.43          -385.454151          2.33           -3.407094         -385.459580          2.36                0.10         
CONF55       -27.114307          1.42          -385.454157          2.33           -3.397296         -385.459571          2.37                0.10         
CONF56       -27.114297          1.43          -385.454156          2.33           -3.404766         -385.459582          2.36                0.10         
CONF57       -27.113258          2.08          -385.452083          3.63           -3.222417         -385.457218          3.84                0.01         
CONF58       -27.112542          2.53          -385.452113          3.61           -3.537999         -385.457751          3.51                0.01         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -385.4512211    -385.4568045     <<==part0==
----------------------------------------------------------------------------------------------------
