 CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF70        -27.120518          ---           -386.236074       -0.005899        ---         -386.241973          0.40                1.70         
CONF71        -27.120516          ---           -386.235974       -0.005867        ---         -386.241841          0.49                1.48         
CONF72        -27.120511          ---           -386.234975       -0.005503        ---         -386.240478          1.34                0.35         
CONF73        -27.120516          ---           -386.235939       -0.005866        ---         -386.241805          0.51                1.42         
CONF74        -27.120510          ---           -386.235475       -0.005707        ---         -386.241181          0.90                0.73         
CONF75        -27.120516          ---           -386.236978       -0.005633        ---         -386.242611          0.00                3.34         
CONF76        -27.120510          ---           -386.235077       -0.005552        ---         -386.240630          1.25                0.41         
CONF77        -27.120484          ---           -386.235629       -0.005744        ---         -386.241374          0.78                0.90         
CONF78        -27.120515          ---           -386.235911       -0.005847        ---         -386.241758          0.54                1.35         
CONF79        -27.120509          ---           -386.234943       -0.005465        ---         -386.240408          1.38                0.32         
CONF80        -27.120509          ---           -386.235940       -0.005885        ---         -386.241826          0.50                1.45         
CONF81        -27.120482          ---           -386.235370       -0.005638        ---         -386.241008          1.01                0.61         
CONF82        -27.120509          ---           -386.235730       -0.005789        ---         -386.241519          0.69                1.05         
CONF83        -27.120472          ---           -386.234310       -0.005111        ---         -386.239421          2.00                0.11         
CONF84        -27.120474          ---           -386.235668       -0.005766        ---         -386.241434          0.74                0.96         
CONF85        -27.120466          ---           -386.235485       -0.005670        ---         -386.241154          0.92                0.71         
CONF86        -27.120465          ---           -386.235392       -0.005668        ---         -386.241060          0.98                0.65         
CONF87        -27.120464          ---           -386.235385       -0.005665        ---         -386.241050          0.98                0.64         
CONF88        -27.120458          ---           -386.234651       -0.005289        ---         -386.239940          1.68                0.20         
CONF89        -27.120455          ---           -386.234818       -0.005371        ---         -386.240189          1.52                0.26         
CONF90        -27.120453          ---           -386.235628       -0.005754        ---         -386.241381          0.77                0.91         
CONF91        -27.120444          ---           -386.236080       -0.005308        ---         -386.241388          0.77                0.91         
CONF92        -27.120438          ---           -386.235565       -0.005728        ---         -386.241294          0.83                0.83         
CONF93        -27.120418          ---           -386.235260       -0.005594        ---         -386.240854          1.11                0.52         
CONF94        -27.120407          ---           -386.234503       -0.005151        ---         -386.239655          1.86                0.15         
CONF95        -27.120404          ---           -386.235872       -0.005313        ---         -386.241186          0.90                0.74         
CONF96        -27.120365          ---           -386.235851       -0.005382        ---         -386.241232          0.87                0.78         
CONF97        -27.120356          ---           -386.234537       -0.005018        ---         -386.239556          1.92                0.13         
CONF98        -27.120340          ---           -386.235893       -0.005615        ---         -386.241509          0.69                1.04         
CONF99        -27.120220          ---           -386.234947       -0.006198        ---         -386.241145          0.92                0.71         
CONF100       -27.120205          ---           -386.234488       -0.006040        ---         -386.240528          1.31                0.37         
CONF101       -27.120162          ---           -386.235123       -0.006006        ---         -386.241129          0.93                0.69         
CONF102       -27.120159          ---           -386.235140       -0.006003        ---         -386.241143          0.92                0.70         
CONF103       -27.119871          ---           -386.234596       -0.003778        ---         -386.238375          2.66                0.04         
CONF104       -27.119859          ---           -386.234843       -0.003787        ---         -386.238630          2.50                0.05         
CONF105       -27.119849          ---           -386.234622       -0.003813        ---         -386.238434          2.62                0.04         
CONF106       -27.119271          ---           -386.232871       -0.004686        ---         -386.237557          3.17                0.02         
CONF107       -27.119252          ---           -386.232984       -0.004702        ---         -386.237686          3.09                0.02         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -386.2363250    -386.2416449     <<==part1==
----------------------------------------------------------------------------------------------------

