 CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -27.116305          0.00          -385.458677          0.37           -3.057004         -385.463549          0.36                1.30         
 CONF2        -27.116307          0.00          -385.458712          0.34           -3.054596         -385.463580          0.34                1.35         
 CONF3        -27.116295          0.01          -385.458508          0.47           -3.053266         -385.463373          0.47                1.08         
 CONF4        -27.116211          0.06          -385.458645          0.39           -3.104324         -385.463592          0.33                1.36         
 CONF5        -27.116165          0.09          -385.458502          0.48           -3.131030         -385.463492          0.39                1.23         
 CONF6        -27.116280          0.02          -385.458444          0.51           -3.056613         -385.463315          0.50                1.02         
 CONF7        -27.116184          0.08          -385.458524          0.46           -3.121302         -385.463499          0.39                1.24         
 CONF8        -27.116237          0.04          -385.458699          0.35           -3.083913         -385.463614          0.32                1.40         
 CONF9        -27.116147          0.10          -385.458457          0.50           -3.139988         -385.463461          0.41                1.19         
CONF10        -27.116268          0.02          -385.458914          0.22           -3.056970         -385.463785          0.21                1.67         
CONF11        -27.116246          0.04          -385.458913          0.22           -3.070142         -385.463806          0.20                1.71         
CONF12        -27.116251          0.04          -385.458932          0.21           -3.062102         -385.463812          0.19                1.72         
CONF13        -27.116276          0.02          -385.458939          0.20           -3.042527         -385.463788          0.21                1.68         
CONF14        -27.116240          0.04          -385.459070          0.12           -3.062952         -385.463951          0.10                2.00         
CONF15        -27.116226          0.05          -385.459194          0.04           -3.059849         -385.464070          0.03                2.26         
CONF16        -27.116243          0.04          -385.459066          0.12           -3.052406         -385.463930          0.12                1.95         
CONF17        -27.116219          0.06          -385.459259          0.00           -3.048204         -385.464117          0.00                2.38         
CONF18        -27.116046          0.16          -385.457976          0.81           -3.133511         -385.462969          0.72                0.71         
CONF19        -27.116041          0.17          -385.457916          0.84           -3.129832         -385.462904          0.76                0.66         
CONF20        -27.115979          0.21          -385.458016          0.78           -3.151617         -385.463039          0.68                0.76         
CONF21        -27.116071          0.15          -385.458945          0.20           -3.080990         -385.463855          0.16                1.80         
CONF22        -27.116075          0.15          -385.459013          0.15           -3.069640         -385.463904          0.13                1.90         
CONF23        -27.115837          0.30          -385.457805          0.91           -3.225924         -385.462946          0.74                0.69         
CONF24        -27.116077          0.14          -385.458977          0.18           -3.067033         -385.463864          0.16                1.82         
CONF25        -27.116014          0.18          -385.457753          0.95           -3.102710         -385.462698          0.89                0.53         
CONF26        -27.116016          0.18          -385.457753          0.95           -3.101803         -385.462696          0.89                0.53         
CONF27        -27.116074          0.15          -385.458911          0.22           -3.052812         -385.463775          0.21                1.66         
CONF28        -27.115854          0.28          -385.457792          0.92           -3.189867         -385.462876          0.78                0.64         
CONF29        -27.116013          0.18          -385.457793          0.92           -3.103905         -385.462739          0.86                0.55         
CONF30        -27.116037          0.17          -385.458814          0.28           -3.073885         -385.463712          0.25                1.55         
CONF31        -27.116077          0.14          -385.459011          0.16           -3.064268         -385.463894          0.14                1.88         
CONF32        -27.116069          0.15          -385.458891          0.23           -3.051490         -385.463754          0.23                1.62         
CONF33        -27.115980          0.21          -385.457883          0.86           -3.100422         -385.462824          0.81                0.60         
CONF34        -27.115976          0.21          -385.457891          0.86           -3.093174         -385.462820          0.81                0.60         
CONF35        -27.115880          0.27          -385.457649          1.01           -3.153456         -385.462675          0.91                0.52         
CONF36        -27.115870          0.27          -385.457650          1.01           -3.158534         -385.462684          0.90                0.52         
CONF37        -27.115845          0.29          -385.457654          1.01           -3.170085         -385.462706          0.89                0.53         
CONF38        -27.115905          0.25          -385.457704          0.98           -3.126125         -385.462686          0.90                0.52         
CONF39        -27.116057          0.16          -385.458877          0.24           -3.030766         -385.463707          0.26                1.54         
CONF40        -27.116044          0.17          -385.458664          0.37           -3.022142         -385.463480          0.40                1.21         
CONF41        -27.115990          0.20          -385.458522          0.46           -3.032273         -385.463354          0.48                1.06         
CONF42        -27.115960          0.22          -385.458280          0.61           -3.050576         -385.463141          0.61                0.85         
CONF43        -27.115912          0.25          -385.457959          0.82           -3.070255         -385.462852          0.79                0.62         
CONF44        -27.115551          0.47          -385.457947          0.82           -3.241518         -385.463113          0.63                0.82         
CONF45        -27.115403          0.57          -385.457561          1.07           -3.333484         -385.462873          0.78                0.64         
CONF46        -27.115351          0.60          -385.458208          0.66           -3.352253         -385.463550          0.36                1.31         
