CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -30.283093          0.00          -424.670537          0.17           -3.462396         -424.676055          0.11                5.43         
CONF2        -30.283023          0.04          -424.670804          0.00           -3.401888         -424.676225          0.00                6.50         
CONF3        -30.282609          0.30          -424.670651          0.10           -3.446970         -424.676144          0.05                5.97         
CONF4        -30.282548          0.34          -424.670565          0.15           -3.454321         -424.676070          0.10                5.52         
CONF5        -30.282548          0.34          -424.669762          0.65           -3.404980         -424.675188          0.65                2.17         
CONF6        -30.282554          0.34          -424.670533          0.17           -3.395742         -424.675945          0.18                4.83         
CONF7        -30.282540          0.35          -424.670775          0.02           -3.376155         -424.676155          0.04                6.04         
CONF8        -30.282495          0.38          -424.669797          0.63           -3.369955         -424.675168          0.66                2.12         
CONF9        -30.282420          0.42          -424.669360          0.91           -3.399472         -424.674777          0.91                1.40         
CONF10       -30.282500          0.37          -424.670354          0.28           -3.302663         -424.675617          0.38                3.41         
CONF11       -30.282384          0.44          -424.670196          0.38           -3.347205         -424.675531          0.44                3.12         
CONF12       -30.282456          0.40          -424.670689          0.07           -3.264401         -424.675891          0.21                4.57         
CONF13       -30.281606          0.93          -424.668174          1.65           -3.627982         -424.673956          1.42                0.59         
CONF14       -30.281415          1.05          -424.670056          0.47           -3.706543         -424.675963          0.16                4.93         
CONF15       -30.281346          1.10          -424.670209          0.37           -3.692964         -424.676094          0.08                5.66         
CONF16       -30.281554          0.97          -424.668548          1.42           -3.554317         -424.674213          1.26                0.77         
CONF17       -30.281591          0.94          -424.669443          0.85           -3.529589         -424.675067          0.73                1.91         
CONF18       -30.281249          1.16          -424.668288          1.58           -3.720475         -424.674217          1.26                0.78         
CONF19       -30.281238          1.16          -424.668435          1.49           -3.725923         -424.674373          1.16                0.91         
CONF20       -30.281187          1.20          -424.668634          1.36           -3.738472         -424.674592          1.02                1.15         
CONF21       -30.281506          1.00          -424.669638          0.73           -3.546636         -424.675290          0.59                2.42         
CONF22       -30.281446          1.03          -424.669853          0.60           -3.556159         -424.675520          0.44                3.08         
CONF23       -30.281175          1.20          -424.669132          1.05           -3.698104         -424.675026          0.75                1.83         
CONF24       -30.281180          1.20          -424.669173          1.02           -3.703698         -424.675075          0.72                1.92         
CONF25       -30.281397          1.06          -424.669519          0.81           -3.562861         -424.675196          0.65                2.19         
CONF26       -30.281449          1.03          -424.670102          0.44           -3.526544         -424.675722          0.32                3.82         
CONF27       -30.281196          1.19          -424.668864          1.22           -3.682095         -424.674732          0.94                1.34         
CONF28       -30.281225          1.17          -424.668668          1.34           -3.640570         -424.674469          1.10                1.01         
CONF29       -30.281709          0.87          -424.669061          1.09           -3.323381         -424.674357          1.17                0.90         
CONF30       -30.281672          0.89          -424.669243          0.98           -3.316804         -424.674528          1.06                1.08         
CONF31       -30.281433          1.04          -424.668654          1.35           -3.435862         -424.674130          1.31                0.71         
CONF32       -30.281443          1.04          -424.668932          1.17           -3.419615         -424.674381          1.16                0.92         
CONF33       -30.281280          1.14          -424.667565          2.03           -3.481181         -424.673113          1.95                0.24         
CONF34       -30.281280          1.14          -424.667484          2.08           -3.475601         -424.673023          2.01                0.22         
CONF35       -30.281389          1.07          -424.668546          1.42           -3.402031         -424.673968          1.42                0.60         
CONF36       -30.281324          1.11          -424.668230          1.61           -3.424704         -424.673688          1.59                0.44         
CONF37       -30.281299          1.13          -424.668294          1.57           -3.453865         -424.673798          1.52                0.50         
CONF38       -30.281312          1.12          -424.668182          1.65           -3.433765         -424.673654          1.61                0.43         
CONF39       -30.281362          1.09          -424.668383          1.52           -3.397080         -424.673797          1.52                0.50         
CONF40       -30.281075          1.27          -424.668159          1.66           -3.559740         -424.673831          1.50                0.52         
CONF41       -30.281146          1.22          -424.667709          1.94           -3.513599         -424.673309          1.83                0.30         
CONF42       -30.281107          1.25          -424.667974          1.78           -3.536922         -424.673611          1.64                0.41         
CONF43       -30.281011          1.31          -424.668095          1.70           -3.550392         -424.673753          1.55                0.47         
CONF44       -30.280995          1.32          -424.668036          1.74           -3.556194         -424.673703          1.58                0.45         
CONF45       -30.280915          1.37          -424.668317          1.56           -3.482177         -424.673866          1.48                0.53         
CONF46       -30.280906          1.37          -424.668269          1.59           -3.482876         -424.673820          1.51                0.51         
CONF47       -30.280920          1.36          -424.668309          1.57           -3.478498         -424.673853          1.49                0.53         
CONF48       -30.280621          1.55          -424.668406          1.50           -3.545718         -424.674056          1.36                0.65         
CONF49       -30.280615          1.55          -424.668586          1.39           -3.544003         -424.674234          1.25                0.79         
CONF50       -30.280002          1.94          -424.668169          1.65           -3.707779         -424.674078          1.35                0.67         
CONF51       -30.280020          1.93          -424.668168          1.65           -3.683376         -424.674038          1.37                0.64         
CONF52       -30.279911          2.00          -424.667586          2.02           -3.743270         -424.673551          1.68                0.38         
CONF53       -30.279925          1.99          -424.667857          1.85           -3.733557         -424.673807          1.52                0.50         
CONF54       -30.280043          1.91          -424.668357          1.54           -3.648141         -424.674171          1.29                0.74         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -424.6698786    -424.6754422     <<==part0==
----------------------------------------------------------------------------------------------------
