CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -30.288611          ---           -425.536929       -0.004095        ---         -425.541024          0.57                3.21         
CONF2        -30.288444          ---           -425.537350       -0.004093        ---         -425.541444          0.31                5.01         
CONF3        -30.288102          ---           -425.536626       -0.004686        ---         -425.541312          0.39                4.36         
CONF4        -30.288053          ---           -425.536565       -0.004694        ---         -425.541259          0.43                4.12         
CONF5        -30.287974          ---           -425.535604       -0.004541        ---         -425.540145          1.12                1.27         
CONF6        -30.287966          ---           -425.536686       -0.004682        ---         -425.541368          0.36                4.63         
CONF7        -30.287920          ---           -425.536846       -0.004657        ---         -425.541503          0.27                5.34         
CONF8        -30.287865          ---           -425.535779       -0.004527        ---         -425.540306          1.02                1.50         
CONF9        -30.287837          ---           -425.535451       -0.004591        ---         -425.540041          1.19                1.14         
CONF10       -30.287763          ---           -425.536446       -0.004837        ---         -425.541284          0.41                4.23         
CONF11       -30.287718          ---           -425.536414       -0.004866        ---         -425.541281          0.41                4.22         
CONF12       -30.287658          ---           -425.536713       -0.004796        ---         -425.541509          0.27                5.37         
CONF13       -30.287388          ---           -425.534626       -0.004916        ---         -425.539542          1.50                0.67         
CONF14       -30.287322          ---           -425.536112       -0.005154        ---         -425.541266          0.42                4.15         
CONF15       -30.287231          ---           -425.536132       -0.005022        ---         -425.541154          0.49                3.69         
CONF16       -30.287218          ---           -425.534928       -0.004860        ---         -425.539788          1.35                0.87         
CONF17       -30.287216          ---           -425.534965       -0.004879        ---         -425.539844          1.31                0.92         
CONF18       -30.287178          ---           -425.534016       -0.004624        ---         -425.538640          2.07                0.26         
CONF19       -30.287175          ---           -425.534150       -0.004646        ---         -425.538796          1.97                0.30         
CONF20       -30.287145          ---           -425.534662       -0.005001        ---         -425.539663          1.43                0.76         
CONF21       -30.287158          ---           -425.535660       -0.005269        ---         -425.540929          0.63                2.91         
CONF22       -30.287113          ---           -425.536095       -0.005481        ---         -425.541577          0.23                5.77         
CONF23       -30.287068          ---           -425.535311       -0.005348        ---         -425.540659          0.80                2.18         
CONF24       -30.287083          ---           -425.535265       -0.005310        ---         -425.540575          0.85                2.00         
CONF25       -30.287075          ---           -425.535642       -0.005293        ---         -425.540935          0.63                2.92         
CONF26       -30.287069          ---           -425.536440       -0.005497        ---         -425.541937          0.00                8.45         
CONF27       -30.287064          ---           -425.535090       -0.005410        ---         -425.540500          0.90                1.84         
CONF28       -30.287026          ---           -425.534908       -0.005469        ---         -425.540377          0.98                1.62         
CONF29       -30.287005          ---           -425.535287       -0.004945        ---         -425.540232          1.07                1.39         
CONF30       -30.286958          ---           -425.535315       -0.004941        ---         -425.540256          1.05                1.43         
CONF31       -30.286909          ---           -425.534739       -0.004707        ---         -425.539447          1.56                0.60         
CONF32       -30.286892          ---           -425.534801       -0.004695        ---         -425.539495          1.53                0.64         
CONF33       -30.286828          ---           -425.533694       -0.004700        ---         -425.538394          2.22                0.20         
CONF34       -30.286818          ---           -425.533683       -0.004656        ---         -425.538339          2.26                0.19         
CONF35       -30.286810          ---           -425.534852       -0.004708        ---         -425.539559          1.49                0.68         
CONF36       -30.286781          ---           -425.534632       -0.004792        ---         -425.539425          1.58                0.59         
CONF37       -30.286804          ---           -425.534374       -0.004855        ---         -425.539229          1.70                0.48         
CONF38       -30.286784          ---           -425.534569       -0.004802        ---         -425.539371          1.61                0.56         
CONF39       -30.286775          ---           -425.534759       -0.004714        ---         -425.539473          1.55                0.62         
CONF40       -30.286747          ---           -425.533667       -0.004876        ---         -425.538544          2.13                0.23         
CONF41       -30.286745          ---           -425.533559       -0.004891        ---         -425.538450          2.19                0.21         
CONF42       -30.286744          ---           -425.533568       -0.004870        ---         -425.538438          2.20                0.21         
CONF43       -30.286669          ---           -425.534222       -0.004839        ---         -425.539061          1.80                0.40         
CONF44       -30.286662          ---           -425.534168       -0.004862        ---         -425.539030          1.82                0.39         
CONF45       -30.286465          ---           -425.534443       -0.004806        ---         -425.539250          1.69                0.49         
CONF46       -30.286456          ---           -425.534400       -0.004795        ---         -425.539195          1.72                0.46         
CONF47       -30.286464          ---           -425.534486       -0.004790        ---         -425.539276          1.67                0.50         
CONF48       -30.286272          ---           -425.534164       -0.005267        ---         -425.539431          1.57                0.59         
CONF49       -30.286263          ---           -425.534604       -0.005452        ---         -425.540056          1.18                1.15         
CONF50       -30.285911          ---           -425.534348       -0.005580        ---         -425.539928          1.26                1.01         
CONF51       -30.285890          ---           -425.534399       -0.005553        ---         -425.539952          1.25                1.03         
CONF52       -30.285876          ---           -425.533697       -0.005230        ---         -425.538927          1.89                0.35         
CONF53       -30.285875          ---           -425.533920       -0.005321        ---         -425.539241          1.69                0.49         
CONF54       -30.285857          ---           -425.534681       -0.005539        ---         -425.540220          1.08                1.37         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -425.5359716    -425.5409239     <<==part1==
----------------------------------------------------------------------------------------------------

